service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
T1D@2,0,0,0,0,0,1,0,20160819,20161119
T51@3,0,0,0,0,0,0,1,20160819,20161119
T3@2,0,0,0,0,0,1,0,20160819,20161119
10.41@1,1,1,1,1,1,0,0,20160819,20161119
10.6@3,0,0,0,0,0,0,1,20160819,20161119
10.7@1,1,1,1,1,1,0,0,20160819,20161119
T51@1,1,1,1,1,1,0,0,20160819,20161119
10.52@1,1,1,1,1,1,0,0,20160819,20161119
T4@3,0,0,0,0,0,0,1,20160819,20161119
10.51@2,0,0,0,0,0,1,0,20160819,20161119
10.1@1,1,1,1,1,1,0,0,20160819,20161119
E101@1,1,1,1,1,1,0,0,20160819,20161119
E10@2,0,0,0,0,0,1,0,20160819,20161119
E10@5,0,0,0,0,0,0,0,20160819,20161119
T9@3,0,0,0,0,0,0,1,20160819,20161119
171@1,1,1,1,1,1,0,0,20160819,20161119
E6011@2,0,0,0,0,0,1,0,20160819,20161119
E6011@5,0,0,0,0,0,0,0,20160819,20161119
E101@2,0,0,0,0,0,1,0,20160819,20161119
T3@5,0,0,0,0,0,0,0,20160819,20161119
1491@3,0,0,0,0,0,0,1,20160819,20161119
TR60@1,1,1,1,1,1,0,0,20160819,20161119
10.51@5,0,0,0,0,0,0,0,20160819,20161119
T52@1,1,1,1,1,1,0,0,20160819,20161119
1713@1,1,1,1,1,1,0,0,20160819,20161119
173@5,0,0,0,0,0,0,0,20160819,20161119
176@1,1,1,1,1,1,0,0,20160819,20161119
M79@3,0,0,0,0,0,0,1,20160819,20161119
10.6@1,1,1,1,1,1,0,0,20160819,20161119
A142@1,1,1,1,1,1,0,0,20160819,20161119
1761@1,1,1,1,1,1,0,0,20160819,20161119
178@1,1,1,1,1,1,0,0,20160819,20161119
280@1,1,1,1,1,1,0,0,20160819,20161119
186@3,0,0,0,0,0,0,1,20160819,20161119
1491@2,0,0,0,0,0,1,0,20160819,20161119
1491@5,0,0,0,0,0,0,0,20160819,20161119
R5@1,1,1,1,1,1,0,0,20160819,20161119
173@2,0,0,0,0,0,1,0,20160819,20161119
A143@1,1,1,1,1,1,0,0,20160819,20161119
149@3,0,0,0,0,0,0,1,20160819,20161119
244@1,1,1,1,1,1,0,0,20160819,20161119
2441@2,0,0,0,0,0,1,0,20160819,20161119
T1@3,0,0,0,0,0,0,1,20160819,20161119
T22@3,0,0,0,0,0,0,1,20160819,20161119
T22@5,0,0,0,0,0,0,0,20160819,20161119
10.7@2,0,0,0,0,0,1,0,20160819,20161119
E10@3,0,0,0,0,0,0,1,20160819,20161119
T2A2@3,0,0,0,0,0,0,1,20160819,20161119
T2@1,1,1,1,1,1,0,0,20160819,20161119
10.4@1,1,1,1,1,1,0,0,20160819,20161119
T11@1,1,1,1,1,1,0,0,20160819,20161119
T11A@1,1,1,1,1,1,0,0,20160819,20161119
T3@3,0,0,0,0,0,0,1,20160819,20161119
10.4@2,0,0,0,0,0,1,0,20160819,20161119
T1@1,1,1,1,1,1,0,0,20160819,20161119
T11@3,0,0,0,0,0,0,1,20160819,20161119
T2A@1,1,1,1,1,1,0,0,20160819,20161119
10.3@2,0,0,0,0,0,1,0,20160819,20161119
10.1@2,0,0,0,0,0,1,0,20160819,20161119
T1D@1,1,1,1,1,1,0,0,20160819,20161119
E10@1,1,1,1,1,1,0,0,20160819,20161119
T2A1@1,1,1,1,1,1,0,0,20160819,20161119
T4@5,0,0,0,0,0,0,0,20160819,20161119
GT4@1,1,1,1,1,1,0,0,20160819,20161119
T2A@2,0,0,0,0,0,1,0,20160819,20161119
T2A@5,0,0,0,0,0,0,0,20160819,20161119
10.51@1,1,1,1,1,1,0,0,20160819,20161119
T51@2,0,0,0,0,0,1,0,20160819,20161119
C801@1,1,1,1,1,1,0,0,20160819,20161119
C802@1,1,1,1,1,1,0,0,20160819,20161119
